"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SNAPEDA_LINK";"SPICEPREFIX";
"C1";"100pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C2";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C3";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C4";"100pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C7";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"IC1";"OPA4340U";"OPA4340U";"SO14";"Operational Amplifiers";"";"";"";"TEXAS INSTRUMENTS";"";"OPA4340UA";"1212307";"35C1907";"";"0";"";"";"";
"J1";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"";"unknown";"unknown";"";"24";"";"";"";
"J2";"1751264";"1751264";"1751264";"MKDS 1/ 4-3,5 Printklemme";"";"";"";"";"";"1751264";"unknown";"10R0934";"";"9";"";"";"";
"J3";"1751264";"1751264";"1751264";"MKDS 1/ 4-3,5 Printklemme";"";"";"";"";"";"1751264";"unknown";"10R0934";"";"9";"";"";"";
"J4";"";"FE05-2";"FE05-2";"FEMALE HEADER";"";"";"";"";"";"";"unknown";"unknown";"";"3";"";"";"";
"J5";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"";"unknown";"unknown";"";"24";"";"";"";
"J6";"1751248";"1751248";"1751248";"MKDS 1/ 2-3,5 Printklemme";"";"";"";"";"";"";"unknown";"unknown";"";"24";"";"";"";
"R1";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R2";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R4";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R5";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R6";"12k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R7";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R8";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R9";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R10";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R11";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R12";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R13";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R14";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R15";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R16";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R17";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R18";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R19";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R20";"1M";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R21";"20k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R22";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R23";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R24";"22.6k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"R25";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"17";"";"";"R";
"U1";"AMC1311BDWVR";"AMC1311BDWVR";"SOIC127P1150X280-8N";"Check availability";"In Stock";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=eda";"                                                      2-V input, precision voltage sensing reinforced isolated amplifier                                              ";"Texas Instruments";"AMC1311BDWVR";"";"";"";"SOIC-8 Texas Instruments";"";"None";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=snap";"";
"U2";"AMC1311BDWVR";"AMC1311BDWVR";"SOIC127P1150X280-8N";"Check availability";"In Stock";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=eda";"                                                      2-V input, precision voltage sensing reinforced isolated amplifier                                              ";"Texas Instruments";"AMC1311BDWVR";"";"";"";"SOIC-8 Texas Instruments";"";"None";"https://www.snapeda.com/parts/AMC1311BDWVR/Texas+Instruments/view-part/?ref=snap";"";
